item,iata,label,countryLabel
http://www.wikidata.org/entity/Q8988,SOU,Southampton Airport,United Kingdom
http://www.wikidata.org/entity/Q1433338,SQQ,Šiauliai International Airport,Lithuania
http://www.wikidata.org/entity/Q8709,STN,London Stansted Airport,United Kingdom
http://www.wikidata.org/entity/Q1431860,SUF,Lamezia Terme International Airport,Italy
http://www.wikidata.org/entity/Q2234608,SUJ,Satu Mare International Airport,Romania
http://www.wikidata.org/entity/Q1355258,SVG,Stavanger Airport,Norway
http://www.wikidata.org/entity/Q192733,SVO,Sheremetyevo International Airport,Russia
http://www.wikidata.org/entity/Q1344758,SVQ,San Pablo Airport,Spain
http://www.wikidata.org/entity/Q1334495,SVX,Koltsovo Airport,Russia
http://www.wikidata.org/entity/Q9689,SXF,Berlin Schönefeld Airport,Germany
http://www.wikidata.org/entity/Q251538,SZG,Salzburg Airport,Austria
http://www.wikidata.org/entity/Q1432944,SZY,Szczytno-Szymany International Airport,Poland
http://www.wikidata.org/entity/Q1432421,TAT,Poprad-Tatry Airport,Slovakia
http://www.wikidata.org/entity/Q778213,TBS,Tbilisi International Airport,Georgia
http://www.wikidata.org/entity/Q932514,TFN,Tenerife North Airport,Spain
http://www.wikidata.org/entity/Q821984,TFS,Tenerife South Airport,Spain
http://www.wikidata.org/entity/Q645100,TGM,Târgu Mureș International Airport,Romania
http://www.wikidata.org/entity/Q9686,THF,Berlin-Tempelhof Airport,Germany
http://www.wikidata.org/entity/Q217226,TIA,Tirana International Airport Nënë Tereza,Albania
http://www.wikidata.org/entity/Q2290825,TJM,Roshchino International Airport,Russia
http://www.wikidata.org/entity/Q1130231,TKU,Turku Airport,Finland
http://www.wikidata.org/entity/Q372615,TLS,Toulouse-Blagnac,France
http://www.wikidata.org/entity/Q1126306,TMP,Tampere-Pirkkala Airport,Finland
http://www.wikidata.org/entity/Q2413018,TOS,Tromsø Airport,Norway
http://www.wikidata.org/entity/Q957105,TRF,Sandefjord Airport,Norway
http://www.wikidata.org/entity/Q1417736,TSR,Traian Vuia International Airport,Romania
http://www.wikidata.org/entity/Q1433133,TZL,Tuzla International Airport,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q650285,UFA,Ufa International Airport,Russia
http://www.wikidata.org/entity/Q3490779,UHE,Kunovice Airport,Czech Republic
http://www.wikidata.org/entity/Q2985601,UKS,Sevastopol International Airport,Ukraine
